request-id,request-method,request-path,request-query,request-payload,response-status,response-content-type,response-payload,response-oops,pre-handle-timestamp,post-handle-timestamp,"after-completion-timestamp"
# RESET
# BEGIN TEST CLASS "TestReplayer"
# BEGIN TEST CASE "test"
"ea69b925-6ca5-e22f-bacc-6cea5afa0013",GET,/manager/project/create,,,500,text/html;charset=utf-8,banner=151,"Access is not authorised",851236676046400,851236899510800,851244327827600
"a17834ea-2056-de70-b935-75e5e2a1307b",GET,"/libraries/fontawesome/5.2.0/css/all.min.css",,,200,text/css,,,851244557601200,851244570650600,851244572793800
"9f22b406-69db-0cfc-7521-b05258f47eb2",GET,"/libraries/datatables/1.10.18/css/datatables.min.css",,,200,text/css,,,851244608951800,851244613428000,851244616291800
"a0b275d9-ad79-6cf9-213e-c42d922e2719",GET,"/libraries/bootstrap/4.1.3/css/bootstrap.min.css",,,200,text/css,,,851244652937200,851244656603400,851244658563600
"e0dd7479-96c9-e0e5-dbe3-b223cfca85c4",GET,"/libraries/jquery/3.3.1/js/jquery.min.js",,,200,application/javascript,,,851244684447700,851244688419000,851244690515900
"affd0755-2a2a-495b-9663-e45fc52bf989",GET,"/libraries/bootstrap/4.1.3/js/bootstrap.min.js",,,200,application/javascript,,,851244727455700,851244730782200,851244732352800
"8cda33bb-0109-35a6-dcf5-87b5374c3451",GET,"/libraries/popper.js/1.14.4/js/popper.min.js",,,200,application/javascript,,,851244759012400,851244763077300,851244764788600
"176c66bc-205b-083a-a99b-e96a53dcc909",GET,"/libraries/datatables/1.10.18/js/jquery.datatables.min.js",,,200,application/javascript,,,851244790520100,851244794984400,851244796336300
"aca044e4-2c04-c2fe-5096-9bca2ff4a5ba",GET,"/libraries/datatables/1.10.18/js/datatables.min.js",,,200,application/javascript,,,851244822750800,851244825994100,851244827239400
"e9c26c0e-33ba-43e6-2713-3eab7fdeb1f5",GET,"/libraries/areyousure/1.9.0/js/areyousure.min.js",,,200,application/javascript,,,851244867989300,851244870984200,851244872231200
"2236112b-4b23-86e5-2501-0d7136e2754f",GET,"/libraries/acme/css/acme.css",,,200,text/css,,,851244899615000,851244903289200,851244905059600
"38f33fdd-1c18-d1ad-e2c5-88eb16198943",GET,"/libraries/acme/js/acme.js",,,200,application/javascript,,,851244933103600,851244936369500,851244937715600
