request-id,request-method,request-path,request-query,request-payload,response-status,response-content-type,response-payload,response-oops,pre-handle-timestamp,post-handle-timestamp,"after-completion-timestamp"
# RESET
# BEGIN TEST CLASS "TestReplayer"
# BEGIN TEST CASE "test"
"ea69b925-6ca5-e22f-bacc-6cea5afa0013",GET,/manager/project/create,,,500,text/html;charset=utf-8,banner=151,"Access is not authorised",845046143461800,845046475581600,845056109495300
"a17834ea-2056-de70-b935-75e5e2a1307b",GET,"/libraries/fontawesome/5.2.0/css/all.min.css",,,200,text/css,,,845056388009700,845056404069500,845056407412500
"9f22b406-69db-0cfc-7521-b05258f47eb2",GET,"/libraries/datatables/1.10.18/css/datatables.min.css",,,200,text/css,,,845056445093600,845056449273100,845056451677000
"a0b275d9-ad79-6cf9-213e-c42d922e2719",GET,"/libraries/bootstrap/4.1.3/css/bootstrap.min.css",,,200,text/css,,,845056491152600,845056495411700,845056497905300
"e0dd7479-96c9-e0e5-dbe3-b223cfca85c4",GET,"/libraries/jquery/3.3.1/js/jquery.min.js",,,200,application/javascript,,,845056540660600,845056544800900,845056546555100
"affd0755-2a2a-495b-9663-e45fc52bf989",GET,"/libraries/bootstrap/4.1.3/js/bootstrap.min.js",,,200,application/javascript,,,845056587388600,845056593207300,845056596096400
"8cda33bb-0109-35a6-dcf5-87b5374c3451",GET,"/libraries/popper.js/1.14.4/js/popper.min.js",,,200,application/javascript,,,845056636902200,845056644076000,845056646887900
"176c66bc-205b-083a-a99b-e96a53dcc909",GET,"/libraries/datatables/1.10.18/js/jquery.datatables.min.js",,,200,application/javascript,,,845056684009800,845056690922000,845056693456900
"aca044e4-2c04-c2fe-5096-9bca2ff4a5ba",GET,"/libraries/datatables/1.10.18/js/datatables.min.js",,,200,application/javascript,,,845056725540900,845056729454500,845056731426400
"e9c26c0e-33ba-43e6-2713-3eab7fdeb1f5",GET,"/libraries/areyousure/1.9.0/js/areyousure.min.js",,,200,application/javascript,,,845056772808300,845056776902700,845056778339800
"2236112b-4b23-86e5-2501-0d7136e2754f",GET,"/libraries/acme/css/acme.css",,,200,text/css,,,845056805928000,845056810029800,845056811897800
"38f33fdd-1c18-d1ad-e2c5-88eb16198943",GET,"/libraries/acme/js/acme.js",,,200,application/javascript,,,845056853893700,845056860985200,845056863326500
